,1.0,1.02,1.1,1.11,1.2,Lite 1.30,1.3,1.4,1.51,1.6,1.7,1.80,1.93,2.00,2.111,SZ 2017,GDW 2019,SZ 2022,2.2
4329,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4330,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4331,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4332,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4333,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4334,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4335,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4336,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4337,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4338,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4339,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4340,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4341,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4342,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4343,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4344,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4345,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4346,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4347,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4348,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4349,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4350,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4351,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4352,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4353,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4354,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4355,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4356,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4357,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4358,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4359,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4360,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4361,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4362,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4363,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4364,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4365,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4366,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4367,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4368,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4369,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4370,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4371,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4372,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4373,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4374,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4375,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4376,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4377,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4378,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4379,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4380,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4381,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4382,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4383,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4384,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4385,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4386,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4387,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4388,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4389,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4390,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4391,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4392,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4393,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4394,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4395,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4396,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4397,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4398,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4399,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,hidden
4400,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4401,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4402,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4403,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4404,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4405,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4406,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4407,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4408,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4409,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4410,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4411,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4412,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4413,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4414,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4415,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4416,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4417,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4418,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4419,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4420,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4421,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4422,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4423,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4424,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4425,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4426,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4427,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4428,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4429,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4430,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4431,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4432,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4433,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4434,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4435,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4436,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4437,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4438,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4439,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4440,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4441,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4442,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4443,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4444,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4445,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4446,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4447,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4448,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4449,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4450,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4451,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4452,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4453,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4454,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4455,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4456,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4457,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4458,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4459,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4460,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4461,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4462,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4463,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4464,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4465,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4466,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4467,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4468,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4469,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4470,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4471,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4472,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4473,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4474,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4475,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4476,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4477,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4478,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4479,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4480,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4481,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4482,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4483,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4484,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4485,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4486,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4487,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4488,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4489,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4490,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4491,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4492,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4493,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4494,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4495,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4496,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4497,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4498,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4499,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4500,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4501,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4502,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4503,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4504,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4505,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4506,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4507,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4508,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4509,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4510,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4511,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4512,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4513,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4514,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4515,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4516,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4517,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4518,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4519,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4520,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4521,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4522,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4523,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4524,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4525,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4526,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4527,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4528,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4529,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4530,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4531,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4532,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4533,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4534,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4535,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4536,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4537,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4538,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4539,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
4540,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4541,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4542,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4543,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4544,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4545,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4546,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4547,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4548,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4549,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4550,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4551,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4552,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4553,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4554,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4555,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4556,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4557,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4558,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4559,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4560,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4561,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4562,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4563,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4564,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4565,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4566,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4567,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4568,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4569,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4570,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4571,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4572,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4573,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4574,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4575,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4576,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4577,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4578,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4579,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4580,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4581,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4582,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4583,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4584,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4585,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4586,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4587,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4588,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4589,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4590,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4591,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4592,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4593,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4594,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4595,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4596,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4597,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4598,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4599,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4600,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4601,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4602,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4603,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4604,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4605,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4606,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4607,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4608,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4609,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4610,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4611,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4612,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4613,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4614,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4615,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4616,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4617,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4618,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4619,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4620,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4621,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4622,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4623,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4624,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4625,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4626,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4627,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4628,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4629,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4630,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4631,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4632,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4633,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4634,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4635,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4636,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4637,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4638,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4639,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4640,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4641,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4642,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4643,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4644,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4645,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4646,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4647,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4648,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4649,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4650,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4651,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4652,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4653,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4654,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4655,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4656,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4657,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4658,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4659,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4660,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4661,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
